"(Intercept)","Warengruppe2","Warengruppe3","Warengruppe4","Warengruppe5","Warengruppe6","KielerWocheTRUE","Temperatur","Windgeschwindigkeit","IsFerienTRUE","IsFeiertagTRUE","WochentagDonnerstag","WochentagFreitag","WochentagMittwoch","WochentagMontag","WochentagSamstag","WochentagSonntag"
1,0,0,0,0,0,0,17.8375,15,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,17.3125,10,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,21.075,6,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,18.85,7,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,19.975,12,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,18.9625,8,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,21.375,9,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,22.725,10,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,23.275,8,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,19.6875,13,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,21.375,12,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,20.2875,7,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,20.125,12,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,17.6875,15,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,18.7375,12,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,21.1875,10,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,22.5125,8,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,23.25,11,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,22.475,16,1,0,0,1,0,0,0,0
1,0,0,0,0,0,0,23.1875,8,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,26.375,8,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,26.1,9,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,24.95,12,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,24.075,11,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,23.0875,9,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,27.2625,6,1,0,0,1,0,0,0,0
