Datum,Warengruppe,Umsatz,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,IsFerien,IsFeiertag,Produktname,Niederschlag
2015-09-28,2,337.127014231803,0,2,14.625,7,0,0,0,Broetchen,NA
2018-09-28,2,349.021309420813,0,1,12.8625,15,21,0,0,Broetchen,NA
2017-01-02,5,274.034203659944,0,3,1.625,8,0,1,0,Kuchen,NA
2016-01-02,2,534.255462379152,0,8,0,16,10,1,0,Broetchen,NA
2017-09-23,5,309.402162505762,0,0,15.85,9,0,0,0,Kuchen,NA
2016-07-09,3,246.879387896932,0,5,19.125,12,NA,0,0,Croissant,NA
2018-03-20,1,135.231062535176,0,0,4.2125,17,5,0,0,Brot,NA
2015-09-03,3,182.593119062727,0,3,17.75,8,NA,0,0,Croissant,NA
2015-09-19,3,166.13465629308,0,7,15.25,7,61,0,0,Croissant,Regen
2014-11-20,4,53.0426254821259,0,5,6.125,7,0,0,0,Konditorei,NA
2017-07-23,4,86.316802196675,0,6,19.375,12,61,0,0,Konditorei,Regen
2017-03-12,5,314.763402436625,0,6,6.375,9,NA,0,0,Kuchen,NA
2016-08-21,4,111.755342047448,0,4,19.875,9,21,1,0,Konditorei,NA
2014-09-04,3,223.143360976669,0,0,20,15,NA,0,0,Croissant,NA
2017-06-29,5,275.570722936418,0,7,17.875,8,61,0,0,Kuchen,Regen
2018-08-29,2,346.103804438865,0,0,22.7,12,0,0,0,Broetchen,NA
2015-04-12,3,148.003916028181,0,5,12.375,16,NA,1,0,Croissant,NA
2017-11-13,4,82.3642985095159,0,2,5.9,9,10,0,0,Konditorei,NA
2016-01-13,3,76.6672503579133,0,8,1.875,14,61,0,0,Croissant,Regen
2018-11-12,4,92.5908072314745,0,7,10.5375,4,61,0,0,Konditorei,Regen
2015-04-07,4,99.9708304210839,0,7,7.75,14,61,1,0,Konditorei,Regen
2018-10-08,4,96.034276587846,0,5,13.0625,10,NA,1,0,Konditorei,NA
2014-06-29,3,288.960776618001,1,7,17.3125,8,61,0,0,Croissant,Regen
2017-06-25,1,69.3531645812572,1,7,17.25,16,20,0,0,Brot,NA
2013-12-10,5,149.431342843146,0,7,7.1875,8,61,0,0,Kuchen,Regen
2019-02-28,1,121.703340957141,0,5,7.8875,11,21,NA,0,Brot,NA
2016-05-26,3,107.902859794621,0,7,14.375,6,61,0,1,Croissant,Regen
2015-12-19,6,69.9211074485971,0,6,11.375,10,0,0,0,Saisonbrot,NA
