Datum, Feiertag
2013-01-01,True
2013-03-29,True
2013-04-01,True
2013-05-01,True
2013-05-09,True
2013-05-20,True
2013-10-03,True
2013-12-23,True
2013-12-26,True
2013-12-24,True
2013-12-31,True
2014-01-01,True
2014-04-18,True
2014-04-21,True
2014-05-01,True
2014-05-29,True
2014-06-09,True
2014-10-03,True
2014-12-25,True
2014-12-26,True
2014-12-24,True
2014-12-31,True
2015-01-01,True
2015-04-03,True
2015-04-06,True
2015-05-01,True
2015-05-14,True
2015-05-25,True
2015-10-03,True
2015-12-25,True
2015-12-26,True
2015-12-24,True
2015-12-31,True
2016-01-01,True
2016-03-25,True
2016-03-28,True
2016-05-01,True
2016-05-05,True
2016-05-16,True
2016-10-03,True
2016-12-25,True
2016-12-26,True
2016-12-24,True
2016-12-31,True
2017-01-01,True
2017-04-14,True
2017-04-17,True
2017-05-01,True
2017-05-25,True
2017-06-05,True
2017-10-03,True
2017-12-25,True
2017-12-26,True
2017-12-24,True
2017-12-31,True
2018-01-01,True
2018-03-30,True
2018-04-02,True
2018-05-01,True
2018-05-10,True
2018-05-21,True
2018-10-03,True
2018-12-25,True 
2018-12-26,True
2018-12-24,True
2018-12-31,True
